GP,Date,Venue,Opponent,GF,GA,Result,OT Result,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO
14,2023-11-10,Home,Calgary Flames,5,4,W,SO,36,6,1,1,1,76,54,58.5,57,39,59.4,28,19,59.6,56.2,91.4
15,2023-11-11,Home,Vancouver Canucks,5,2,W,,22,42,0,2,0,39,47,45.3,30,35,46.2,17,18,48.6,44.0,133.3
16,2023-11-17,Away,Detroit Red Wings,3,2,W,,29,12,1,3,0,48,42,53.3,31,28,52.5,26,24,52.0,57.1,100.0
17,2023-11-19,Away,Minnesota Wild,4,3,W,OT,25,6,1,2,0,53,54,49.5,36,41,46.8,32,24,57.1,38.9,103.6
18,2023-11-24,Away,Chicago Blackhawks,3,4,L,OT,37,10,0,2,0,61,61,50.0,41,43,48.8,25,17,59.5,60.6,96.9
19,2023-11-25,Away,Pittsburgh Penguins,2,3,L,,33,6,0,3,0,61,61,50.0,42,45,48.3,28,21,57.1,50.0,97.5
20,2023-11-28,Home,Florida Panthers,2,1,W,SO,32,11,0,6,0,38,68,35.8,31,46,40.3,23,18,56.1,35.3,101.0
21,2023-11-30,Home,Seattle Kraken,4,3,W,SO,28,12,1,3,0,39,57,40.6,26,43,37.7,27,14,65.9,42.4,102.6
22,2023-12-02,Home,Boston Bruins,3,4,L,OT,40,2,0,1,0,68,63,51.9,50,45,52.6,30,26,53.6,67.3,95.9
23,2023-12-07,Away,Ottawa Senators,4,3,W,,22,4,0,1,0,53,63,45.7,30,43,41.1,25,18,58.1,39.3,112.3
24,2023-12-09,Home,Nashville Predators,4,0,W,,37,11,1,5,1,45,32,58.4,31,20,60.8,20,14,58.8,50.0,108.7
25,2023-12-11,Away,New York Islanders,3,4,L,OT,40,2,1,1,0,68,58,54.0,52,48,52.0,29,25,53.7,57.1,91.3
26,2023-12-12,Away,New York Rangers,7,3,W,,30,8,1,3,0,41,66,38.3,32,47,40.5,23,24,48.9,34.7,117.1
27,2023-12-14,Home,Columbus Blue Jackets,5,6,L,OT,48,6,1,2,0,93,46,66.9,55,39,58.5,32,26,55.2,68.3,91.4
