GP,Date,Venue,Opponent,GF,GA,Result,OT Result,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO
1,2023-10-11,Home,Edmonton Oilers,8,1,W,,32,13,3,6,0,34,38,47.2,27,30,47.4,20,25,44.4,50.0,126.3
2,2023-10-14,Away,Edmonton Oilers,4,3,W,,16,14,1,3,0,24,60,28.6,17,42,28.8,23,23,50.0,53.0,117.9
3,2023-10-17,Away,Philadelphia Flyers,0,2,L,,26,22,0,3,0,47,48,49.5,34,39,46.6,16,17,48.5,42.4,93.9
4,2023-10-19,Away,Tampa Bay Lightning,3,4,L,,29,11,0,1,0,56,38,59.6,32,29,52.5,29,24,54.7,56.4,103.1
5,2023-10-21,Away,Florida Panthers,5,3,W,,31,4,2,3,0,41,59,41.0,28,46,37.8,23,22,51.1,48.3,106.2
6,2023-10-24,Away,Nashville Predators,3,2,W,,24,6,0,1,0,62,31,66.7,39,21,65.0,21,22,48.8,56.9,98.2
7,2023-10-27,Home,St. Louis Blues,5,0,W,,35,10,0,4,1,55,26,67.9,39,24,61.9,23,17,57.5,58.5,114.3
8,2023-10-28,Home,New York Rangers,3,4,L,OT,33,12,1,6,1,45,28,61.6,32,20,61.5,12,23,34.3,72.7,96.9
9,2023-10-31,Home,Nashville Predators,5,2,W,,27,8,1,3,0,42,59,41.6,31,48,39.2,24,16,60.0,66.1,108.3
10,2023-11-02,Away,San Jose Sharks,10,1,W,,33,11,4,5,0,50,50,50.0,32,37,46.4,23,31,42.6,40.0,124.0
11,2023-11-04,Home,Dallas Stars,2,0,W,,28,11,0,5,0,35,42,45.5,27,32,45.8,22,16,57.9,53.5,113.3
12,2023-11-06,Home,Edmonton Oilers,6,2,W,,36,8,3,6,0,44,61,41.9,34,46,42.5,23,34,40.4,38.4,108.6
13,2023-11-09,Away,Ottawa Senators,5,2,W,,16,4,1,3,0,37,47,44.0,20,33,37.7,16,23,41.0,27.3,118.7
14,2023-11-11,Away,Toronto Maple Leafs,2,5,L,,33,14,2,6,0,47,39,54.7,35,30,53.8,18,17,51.4,56.0,66.7
15,2023-11-12,Away,Montreal Canadiens,5,2,W,,37,4,0,2,0,66,54,55.0,46,37,55.4,19,16,54.3,66.7,112.6
16,2023-11-15,Home,New York Islanders,4,3,W,OT,43,4,3,6,0,66,49,57.4,49,36,57.6,35,23,60.3,45.2,99.1
17,2023-11-16,Away,Calgary Flames,2,5,L,,22,8,1,3,0,47,75,38.5,31,55,36.0,30,28,51.7,34.7,92.1
18,2023-11-18,Home,Seattle Kraken,3,4,L,,24,6,0,2,0,50,41,54.9,34,33,50.7,20,21,48.8,51.7,97.0
19,2023-11-20,Home,San Jose Sharks,3,1,W,,37,17,0,3,1,59,42,58.4,43,30,58.9,20,16,55.6,60.7,106.9
20,2023-11-22,Away,Colorado Avalanche,2,5,L,,29,10,0,3,0,44,48,47.8,35,27,56.5,25,20,55.6,57.5,88.3
21,2023-11-24,Away,Seattle Kraken,5,1,W,,27,13,0,2,1,45,50,47.4,33,31,51.6,23,22,51.1,57.6,114.7
22,2023-11-25,Away,San Jose Sharks,3,4,L,,33,16,2,4,0,63,44,58.9,43,29,59.7,28,30,48.3,48.8,88.8
23,2023-11-28,Home,Anaheim Ducks,3,1,W,,27,8,1,4,0,51,37,58.0,36,31,53.7,20,13,60.6,54.5,109.5
24,2023-11-30,Home,Vegas Golden Knights,1,4,L,,22,6,0,3,0,46,57,44.7,32,48,40.0,15,24,38.5,37.2,97.8
25,2023-12-02,Away,Calgary Flames,4,3,W,,22,10,0,4,0,38,38,50.0,29,28,50.9,27,18,60.0,31.0,114.8
26,2023-12-05,Home,New Jersey Devils,5,6,L,,33,4,1,4,0,37,46,44.6,30,33,47.6,24,30,44.4,37.5,98.1
27,2023-12-07,Home,Minnesota Wild,2,0,W,,17,12,0,2,0,41,57,41.8,28,35,44.4,30,30,50.0,39.6,114.3
28,2023-12-09,Home,Carolina Hurricanes,4,3,W,,24,10,0,3,0,27,43,38.6,23,29,44.2,22,20,52.4,40.0,107.9
29,2023-12-12,Home,Tampa Bay Lightning,4,1,W,,22,6,1,2,0,41,51,44.6,30,35,46.2,20,22,47.6,42.3,112.1
30,2023-12-14,Home,Florida Panthers,4,0,W,,18,6,1,3,0,37,60,38.1,27,45,37.5,18,20,47.4,33.3,121.4
31,2023-12-16,Away,Minnesota Wild,1,2,L,SO,36,4,0,5,0,41,45,47.7,32,35,47.8,24,25,49.0,50.9,99.8
32,2023-12-17,Away,Chicago Blackhawks,4,3,W,,27,23,1,4,0,40,37,51.9,27,29,48.2,16,14,53.3,28.6,110.8
33,2023-12-19,Away,Nashville Predators,5,2,W,,35,4,0,3,0,43,49,46.7,37,32,53.6,24,20,54.5,51.2,108.3
34,2023-12-21,Away,Dallas Stars,3,4,L,OT,20,6,0,3,0,46,52,46.9,33,43,43.4,25,23,52.1,42.3,102.1
35,2023-12-23,Home,San Jose Sharks,7,4,W,,26,6,1,4,0,47,31,60.3,31,24,56.4,28,22,56.0,48.4,112.3
36,2023-12-28,Home,Philadelphia Flyers,1,4,L,,27,8,0,3,0,46,35,56.8,29,26,52.7,15,33,31.3,65.4,93.0
37,2024-01-02,Home,Ottawa Senators,6,3,W,,26,2,1,1,0,58,61,48.7,37,44,45.7,25,26,49.0,40.6,112.7
38,2024-01-04,Away,St. Louis Blues,1,2,L,,26,4,0,1,0,58,51,53.2,44,41,51.8,15,27,35.7,54.8,97.3
39,2024-01-06,Away,New Jersey Devils,6,4,W,,43,4,0,1,0,72,39,64.9,51,28,64.6,22,32,40.7,50.0,98.8
40,2024-01-08,Away,New York Rangers,6,3,W,,26,4,0,0,0,47,56,45.6,38,46,45.2,23,31,42.6,40.6,117.5
41,2024-01-09,Away,New York Islanders,5,2,W,,34,4,0,4,0,48,32,60.0,36,24,60.0,16,23,41.0,57.9,115.6
42,2024-01-11,Away,Pittsburgh Penguins,4,3,W,OT,29,8,1,2,0,45,57,44.1,37,41,47.4,22,29,43.1,50.0,100.8
43,2024-01-13,Away,Buffalo Sabres,1,0,W,,23,15,0,2,0,42,41,50.6,28,26,51.9,24,14,63.2,32.3,105.6
44,2024-01-15,Away,Columbus Blue Jackets,3,4,L,SO,30,10,1,4,0,45,55,45.0,32,47,40.5,17,16,51.5,42.9,102.2
45,2024-01-18,Home,Arizona Coyotes,2,1,W,,26,11,1,5,0,30,34,46.9,24,25,49.0,26,14,65.0,34.6,100.6
46,2024-01-20,Home,Toronto Maple Leafs,6,4,W,,21,18,2,3,0,40,60,40.0,29,46,38.7,14,22,38.9,14.3,115.2
47,2024-01-22,Home,Chicago Blackhawks,2,0,W,,29,10,0,3,0,53,37,58.9,43,28,60.6,14,15,48.3,61.3,107.7
48,2024-01-24,Home,St. Louis Blues,3,4,L,OT,32,6,1,3,0,64,37,63.4,43,24,64.2,20,21,48.8,82.6,88.0
49,2024-01-27,Home,Columbus Blue Jackets,5,4,W,OT,34,19,3,4,0,54,37,59.3,40,26,60.6,29,12,70.7,68.5,97.2
50,2024-02-06,Away,Carolina Hurricanes,3,2,W,,19,4,2,3,0,38,59,39.2,28,40,41.2,24,23,51.1,36.7,105.9
51,2024-02-08,Away,Boston Bruins,0,4,L,,17,10,0,3,0,37,33,52.9,26,28,48.1,26,16,61.9,43.1,89.5
52,2024-02-10,Away,Detroit Red Wings,3,4,L,OT,31,34,0,3,0,42,37,53.2,25,25,50.0,22,17,56.4,37.5,103.4
53,2024-02-11,Away,Washington Capitals,3,2,W,OT,29,4,0,3,0,53,65,44.9,32,48,40.0,20,19,51.3,52.7,107.0
54,2024-02-13,Away,Chicago Blackhawks,4,2,W,,38,13,0,4,0,53,30,63.9,43,24,64.2,16,18,47.1,63.6,107.5
55,2024-02-15,Home,Detroit Red Wings,4,1,W,,21,12,0,2,0,44,42,51.2,30,35,46.2,25,19,56.8,40.7,115.7
56,2024-02-17,Home,Winnipeg Jets,2,4,L,,37,25,0,4,0,52,33,61.2,36,27,57.1,17,23,42.5,60.7,98.8
57,2024-02-19,Away,Minnesota Wild,7,10,L,,24,14,1,3,0,60,45,57.1,35,29,54.7,21,18,53.8,68.8,96.3
58,2024-02-20,Away,Colorado Avalanche,1,3,L,,25,6,0,2,0,43,37,53.8,28,26,51.9,31,16,66.0,40.0,87.9
59,2024-02-22,Away,Seattle Kraken,2,5,L,,21,11,0,4,0,37,49,43.0,25,38,39.7,24,24,50.0,21.9,97.7
60,2024-02-24,Home,Boston Bruins,3,2,W,OT,39,8,1,2,0,78,38,67.2,59,28,67.8,33,25,56.9,72.0,95.6
61,2024-02-27,Home,Pittsburgh Penguins,3,4,L,OT,35,10,1,4,1,55,47,53.9,41,39,51.3,21,21,50.0,48.5,94.1
62,2024-02-29,Home,Los Angeles Kings,1,5,L,,24,6,1,3,0,54,31,63.5,33,25,56.9,23,23,50.0,70.1,77.8
63,2024-03-03,Away,Anaheim Ducks,2,1,W,,31,2,0,2,0,55,44,55.6,36,29,55.4,22,15,59.5,53.6,100.6
64,2024-03-05,Away,Los Angeles Kings,2,1,W,OT,31,2,0,2,0,58,43,57.4,39,31,55.7,34,18,65.4,60.5,102.9
65,2024-03-07,Away,Vegas Golden Knights,3,1,W,,35,4,1,3,0,52,60,46.4,42,44,48.8,28,28,50.0,37.5,103.4
66,2024-03-09,Home,Winnipeg Jets,5,0,W,,37,2,1,2,0,54,37,59.3,46,30,60.5,31,22,58.5,47.5,111.8
67,2024-03-13,Home,Colorado Avalanche,3,4,L,OT,21,13,0,3,0,26,65,28.6,23,44,34.3,19,18,51.4,50.0,109.8
68,2024-03-16,Home,Washington Capitals,1,2,L,,22,2,0,1,0,64,41,61.0,37,33,52.9,29,16,64.4,41.7,96.6
69,2024-03-19,Home,Buffalo Sabres,3,2,W,,34,10,1,5,0,48,46,51.1,34,27,55.7,21,18,53.8,49.7,94.4
70,2024-03-21,Home,Montreal Canadiens,4,1,W,,25,8,0,4,0,56,32,63.6,37,22,62.7,17,22,43.6,57.7,111.0
71,2024-03-23,Home,Calgary Flames,4,2,W,,26,4,1,3,0,47,54,46.5,39,37,51.3,28,18,60.9,41.9,104.3
72,2024-03-25,Home,Los Angeles Kings,2,3,L,,23,4,0,2,0,52,32,61.9,39,26,60.0,20,19,51.3,52.4,92.4
73,2024-03-28,Home,Dallas Stars,1,3,L,,28,12,0,3,0,52,57,47.7,36,42,46.2,20,14,58.8,50.3,100.2
74,2024-03-31,Home,Anaheim Ducks,3,2,W,,30,8,2,4,0,50,44,53.2,36,34,51.4,29,19,60.4,62.9,94.0
75,2024-04-02,Away,Vegas Golden Knights,3,6,L,,30,21,1,3,0,50,38,56.8,31,28,52.5,27,19,58.7,50.9,87.6
76,2024-04-03,Away,Arizona Coyotes,2,1,W,,33,11,1,3,0,59,45,56.7,49,30,62.0,30,20,60.0,52.9,104.2
77,2024-04-06,Away,Los Angeles Kings,3,6,L,,42,18,0,3,1,61,40,60.4,39,35,52.7,17,24,41.5,60.0,94.9
78,2024-04-08,Home,Vegas Golden Knights,4,3,W,,30,8,2,3,0,40,45,47.1,28,28,50.0,20,20,50.0,27.3,104.0
79,2024-04-10,Home,Arizona Coyotes,3,4,L,OT,26,10,1,4,0,62,30,67.4,43,25,63.2,30,10,75.0,53.1,81.4
80,2024-04-13,Away,Edmonton Oilers,3,1,W,,27,4,0,2,0,42,58,42.0,34,39,46.6,27,22,55.1,48.3,108.4
81,2024-04-16,Home,Calgary Flames,4,1,W,,31,20,0,2,1,49,60,45.0,39,45,46.4,21,26,44.7,41.8,108.8
82,2024-04-18,Away,Winnipeg Jets,2,4,L,,20,10,1,3,0,43,35,55.1,24,27,47.1,18,21,46.2,44.0,82.7
1,2023-10-11,Away,Vancouver Canucks,1,8,L,,27,17,1,4,0,40,33,54.8,30,27,52.6,25,20,55.6,50.0,73.7
2,2023-10-14,Home,Vancouver Canucks,3,4,L,,40,6,2,7,0,63,24,72.4,42,17,71.2,23,23,50.0,47.0,82.1
3,2023-10-17,Away,Nashville Predators,6,1,W,,30,11,2,3,0,41,53,43.6,33,44,42.9,26,27,49.1,32.4,118.2
4,2023-10-19,Away,Philadelphia Flyers,1,4,L,,23,8,0,2,0,45,35,56.3,27,33,45.0,23,24,48.9,52.9,94.4
5,2023-10-21,Home,Winnipeg Jets,2,3,L,OT,40,17,1,4,0,54,35,60.7,46,25,64.8,25,25,50.0,58.7,97.2
6,2023-10-24,Away,Minnesota Wild,4,7,L,,28,13,1,5,0,48,40,54.5,34,32,51.5,31,16,66.0,50.3,83.9
7,2023-10-26,Home,New York Rangers,0,3,L,,29,6,0,2,0,61,49,55.5,43,39,52.4,20,25,44.4,72.3,92.6
8,2023-10-29,Home,Calgary Flames,5,2,W,,33,12,0,2,0,52,42,55.3,40,32,55.6,28,19,59.6,45.2,116.7
9,2023-11-02,Home,Dallas Stars,3,4,L,,49,4,0,4,0,78,38,67.2,55,26,67.9,37,26,58.7,52.3,95.2
10,2023-11-04,Home,Nashville Predators,2,5,L,,35,10,2,3,0,55,45,55.0,41,39,51.3,16,39,29.1,46.1,87.1
11,2023-11-06,Away,Vancouver Canucks,2,6,L,,43,24,1,3,0,65,44,59.6,46,34,57.5,34,23,59.6,61.6,91.4
12,2023-11-09,Away,San Jose Sharks,2,3,L,,41,4,0,4,0,70,39,64.2,45,28,61.6,20,25,44.4,56.0,88.4
13,2023-11-11,Away,Seattle Kraken,4,1,W,,26,13,1,3,0,41,33,55.4,32,21,60.4,24,29,45.3,44.6,113.6
14,2023-11-13,Home,New York Islanders,4,1,W,,32,6,2,3,1,58,51,53.2,37,41,47.4,37,31,54.4,67.8,100.3
15,2023-11-15,Home,Seattle Kraken,4,3,W,OT,31,12,0,3,0,50,59,45.9,38,44,46.3,31,28,52.5,51.5,106.3
16,2023-11-18,Away,Tampa Bay Lightning,4,6,L,,42,15,0,5,1,61,39,61.0,46,28,62.2,20,29,40.8,70.2,84.8
17,2023-11-20,Away,Florida Panthers,3,5,L,,29,29,0,3,0,54,51,51.4,39,39,50.0,20,32,38.5,48.5,98.2
18,2023-11-22,Away,Carolina Hurricanes,3,6,L,,23,10,1,4,1,50,48,51.0,33,32,50.8,24,18,57.1,41.6,83.2
19,2023-11-24,Away,Washington Capitals,5,0,W,,35,10,3,4,0,54,29,65.1,41,26,61.2,22,19,53.7,50.0,107.4
20,2023-11-26,Home,Anaheim Ducks,8,2,W,,26,6,2,6,0,32,43,42.7,22,31,41.5,21,21,50.0,48.0,120.9
21,2023-11-28,Home,Vegas Golden Knights,5,4,W,SO,34,12,1,3,0,54,41,56.8,36,26,58.1,28,26,51.9,51.0,93.0
22,2023-11-30,Away,Winnipeg Jets,3,1,W,,39,6,1,2,0,72,33,68.6,54,26,67.5,41,13,75.9,52.6,105.9
23,2023-12-06,Home,Carolina Hurricanes,6,1,W,,34,4,0,1,0,47,60,43.9,41,44,48.2,33,26,55.9,34.9,116.2
24,2023-12-08,Home,Minnesota Wild,4,3,W,,40,6,2,4,0,55,51,51.9,41,37,52.6,23,21,52.3,46.4,88.1
25,2023-12-10,Home,New Jersey Devils,4,1,W,,30,8,1,3,0,45,48,48.4,38,31,55.1,27,20,57.4,37.5,106.3
26,2023-12-12,Home,Chicago Blackhawks,4,1,W,,29,6,1,2,0,58,40,59.2,39,30,56.5,23,22,51.1,57.9,107.7
27,2023-12-14,Home,Tampa Bay Lightning,4,7,L,,57,4,2,4,1,67,39,63.2,50,24,67.6,26,25,51.0,73.5,71.1
28,2023-12-16,Home,Florida Panthers,1,5,L,,39,8,0,2,0,55,54,50.5,41,42,49.4,33,17,66.0,42.4,91.2
29,2023-12-19,Away,New York Islanders,1,3,L,,31,8,0,4,0,63,27,70.0,45,20,69.2,16,11,59.3,82.4,104.2
30,2023-12-21,Away,New Jersey Devils,6,3,W,,38,0,0,2,0,65,50,56.5,44,36,55.0,24,28,46.2,54.5,106.1
31,2023-12-22,Away,New York Rangers,4,3,W,,28,6,0,2,0,45,59,43.3,32,36,47.1,29,18,61.7,37.5,112.6
32,2023-12-28,Away,San Jose Sharks,5,0,W,,30,6,0,1,0,57,46,55.3,41,36,53.2,18,26,40.9,54.9,117.9
33,2023-12-30,Away,Los Angeles Kings,3,2,W,SO,26,8,1,4,0,44,48,47.8,35,34,50.7,22,20,52.4,53.4,100.2
34,2023-12-31,Away,Anaheim Ducks,7,2,W,,39,41,0,4,0,55,41,57.3,42,33,56.0,17,17,50.0,50.4,112.3
35,2024-01-02,Home,Philadelphia Flyers,5,2,W,,36,10,1,4,0,48,34,58.5,39,29,57.4,16,16,50.0,61.7,106.1
36,2024-01-06,Home,Ottawa Senators,3,1,W,,46,6,2,3,0,56,54,50.9,41,40,50.6,23,15,60.5,38.5,98.7
37,2024-01-09,Away,Chicago Blackhawks,2,1,W,,15,6,0,1,0,38,43,46.9,25,31,44.6,29,18,61.7,48.5,110.4
38,2024-01-11,Away,Detroit Red Wings,3,2,W,OT,47,8,0,2,0,71,48,59.7,53,27,66.3,26,20,56.5,58.2,95.7
39,2024-01-13,Away,Montreal Canadiens,2,1,W,OT,41,8,1,5,0,65,33,66.3,45,25,64.3,25,28,47.2,55.2,103.2
40,2024-01-16,Home,Toronto Maple Leafs,4,2,W,,32,2,0,1,0,71,46,60.7,50,37,57.5,22,23,48.9,60.0,104.2
41,2024-01-18,Home,Seattle Kraken,4,2,W,,36,24,2,5,0,39,41,48.8,30,27,52.6,24,12,66.7,35.6,97.5
42,2024-01-20,Away,Calgary Flames,3,1,W,,32,6,0,2,0,50,43,53.8,41,30,57.7,23,25,47.9,71.1,106.0
43,2024-01-23,Home,Columbus Blue Jackets,4,1,W,,24,10,1,2,0,42,45,48.3,28,34,45.2,24,14,63.2,48.4,110.7
44,2024-01-25,Home,Chicago Blackhawks,3,0,W,,34,2,1,1,0,61,44,58.1,45,35,56.3,30,19,61.2,37.8,106.5
45,2024-01-27,Home,Nashville Predators,4,1,W,,21,6,2,3,0,44,55,44.4,30,42,41.7,20,21,48.8,41.9,107.1
46,2024-02-06,Away,Vegas Golden Knights,1,3,L,,31,4,0,1,1,74,45,62.2,47,29,61.8,26,22,54.2,58.6,87.5
47,2024-02-09,Away,Anaheim Ducks,5,3,W,,32,4,1,2,0,54,35,60.7,42,25,62.7,22,20,52.4,64.3,109.7
48,2024-02-10,Away,Los Angeles Kings,0,4,L,,26,8,0,4,0,52,31,62.7,33,26,55.9,26,20,56.5,71.9,84.2
49,2024-02-13,Home,Detroit Red Wings,8,4,W,,36,6,0,0,0,58,56,50.9,45,44,50.6,37,20,64.9,58.8,115.6
50,2024-02-15,Away,St. Louis Blues,3,6,L,,38,21,1,3,0,54,39,58.1,39,29,57.4,20,26,43.5,76.0,81.7
51,2024-02-17,Away,Dallas Stars,4,3,W,OT,24,6,1,4,1,44,41,51.8,30,25,54.5,25,28,47.2,61.5,104.4
52,2024-02-19,Away,Arizona Coyotes,6,3,W,,26,6,1,2,0,46,54,46.0,35,39,47.3,24,20,54.5,50.9,111.3
53,2024-02-21,Home,Boston Bruins,5,6,L,OT,42,9,0,3,0,78,54,59.1,57,46,55.3,29,30,49.2,58.1,98.7
54,2024-02-23,Home,Minnesota Wild,2,4,L,,43,8,2,2,0,74,51,59.2,57,33,63.3,31,14,68.9,60.6,75.0
55,2024-02-24,Home,Calgary Flames,3,6,L,,35,46,1,3,0,67,43,60.9,41,34,54.7,26,29,47.3,73.5,87.7
56,2024-02-26,Home,Los Angeles Kings,4,2,W,,31,4,1,3,0,53,55,49.1,38,46,45.2,27,24,52.9,37.5,104.8
57,2024-02-28,Home,St. Louis Blues,3,2,W,OT,36,6,1,2,0,71,49,59.2,46,41,52.9,29,23,55.8,68.5,102.7
58,2024-03-02,Away,Seattle Kraken,2,1,W,,24,6,0,2,0,46,49,48.4,34,30,53.1,21,19,52.5,46.4,109.5
59,2024-03-03,Home,Pittsburgh Penguins,6,1,W,,37,4,0,3,0,58,42,58.0,41,34,54.7,27,17,61.4,50.0,113.2
60,2024-03-05,Away,Boston Bruins,2,1,W,OT,26,4,0,2,0,61,36,62.9,33,29,53.2,23,14,62.2,64.9,106.2
61,2024-03-07,Away,Columbus Blue Jackets,2,4,L,,31,9,1,3,0,48,57,45.7,38,43,46.9,26,22,54.2,40.6,91.6
62,2024-03-09,Away,Buffalo Sabres,2,3,L,SO,32,2,0,3,1,46,49,48.4,39,38,50.6,34,8,81.0,48.6,99.7
63,2024-03-10,Away,Pittsburgh Penguins,4,0,W,,42,17,0,4,0,56,60,48.3,43,45,48.9,17,25,40.5,49.2,112.5
64,2024-03-13,Home,Washington Capitals,7,2,W,,37,8,3,4,0,45,38,54.2,33,29,53.2,24,18,57.1,45.8,108.8
65,2024-03-16,Home,Colorado Avalanche,2,3,L,OT,34,7,0,1,0,60,81,42.6,42,58,42.0,33,21,61.1,44.5,99.3
66,2024-03-19,Home,Montreal Canadiens,3,2,W,OT,32,11,1,5,0,37,52,41.6,20,34,37.0,16,23,41.0,54.5,102.2
67,2024-03-21,Home,Buffalo Sabres,8,3,W,,39,6,1,2,0,67,41,62.0,47,27,63.5,28,18,60.9,52.0,105.3
68,2024-03-23,Away,Toronto Maple Leafs,3,6,L,,39,23,2,5,0,69,38,64.5,43,31,58.1,24,18,57.1,55.2,82.5
69,2024-03-24,Away,Ottawa Senators,3,5,L,,36,8,2,3,0,52,29,64.2,42,20,67.7,22,21,51.2,67.9,87.9
70,2024-03-26,Away,Winnipeg Jets,4,3,W,OT,42,20,1,4,0,55,37,59.8,43,29,59.7,22,25,46.8,55.1,93.9
71,2024-03-28,Home,Los Angeles Kings,4,1,W,,20,6,1,2,0,42,53,44.2,25,39,39.1,19,29,39.6,35.2,114.5
72,2024-03-30,Home,Anaheim Ducks,6,1,W,,37,4,1,3,0,67,40,62.6,54,29,65.1,32,20,61.5,57.6,115.2
73,2024-04-01,Away,St. Louis Blues,2,3,L,OT,38,15,0,2,0,56,33,62.9,42,28,60.0,22,24,47.8,48.7,96.2
74,2024-04-03,Away,Dallas Stars,0,5,L,,35,16,0,4,0,58,52,52.7,36,45,44.4,18,25,41.9,58.6,84.0
75,2024-04-05,Home,Colorado Avalanche,6,2,W,,47,6,0,5,0,50,41,54.9,42,31,57.5,29,16,64.4,33.3,107.1
76,2024-04-06,Away,Calgary Flames,4,2,W,,27,14,2,6,0,37,58,38.9,27,43,38.6,27,17,61.4,48.4,110.0
77,2024-04-10,Home,Vegas Golden Knights,5,1,W,,25,0,1,3,0,53,53,50.0,38,35,52.1,23,22,51.1,54.8,119.0
78,2024-04-12,Home,Arizona Coyotes,2,3,L,OT,41,4,0,1,0,74,44,62.7,56,35,61.5,33,16,67.3,69.4,93.0
79,2024-04-13,Home,Vancouver Canucks,1,3,L,,33,4,0,2,0,58,40,59.2,39,34,53.4,22,27,44.9,51.7,91.6
80,2024-04-15,Home,San Jose Sharks,9,2,W,,38,2,0,0,0,76,38,66.7,57,30,65.5,28,21,57.1,75.8,113.7
81,2024-04-17,Away,Arizona Coyotes,2,5,L,,30,4,0,2,0,57,34,62.6,43,28,60.6,28,20,58.3,58.8,88.4
82,2024-04-18,Away,Colorado Avalanche,1,5,L,,26,8,1,2,0,47,48,49.5,35,32,52.2,31,16,66.0,45.5,78.9
1,2023-10-11,Home,Colorado Avalanche,2,5,L,,36,15,0,5,0,52,46,53.1,36,36,50.0,22,28,44.0,64.7,94.2
2,2023-10-14,Home,Carolina Hurricanes,5,6,L,SO,30,10,2,7,0,49,33,59.8,33,23,58.9,21,25,45.7,57.7,89.4
3,2023-10-17,Away,Winnipeg Jets,5,1,W,,29,17,1,5,0,42,41,50.6,35,26,57.4,18,17,51.4,40.0,110.4
4,2023-10-19,Away,Minnesota Wild,7,3,W,,27,8,0,0,1,47,44,51.6,33,40,45.2,21,34,38.2,59.0,113.3
5,2023-10-21,Home,Boston Bruins,2,4,L,,34,13,1,6,0,57,40,58.8,38,30,55.9,32,27,54.2,65.6,89.2
6,2023-10-24,Home,Arizona Coyotes,6,3,W,,28,8,1,4,0,37,38,49.3,28,28,50.0,32,30,51.6,58.4,113.2
7,2023-10-27,Away,Arizona Coyotes,5,4,W,,41,4,1,5,0,60,32,65.2,42,25,62.7,30,26,53.6,63.9,93.5
8,2023-10-28,Home,Vegas Golden Knights,3,4,L,SO,40,11,0,4,0,69,51,57.5,48,40,54.5,25,18,58.1,49.5,100.0
9,2023-10-31,Away,Toronto Maple Leafs,4,1,W,,27,8,1,4,0,52,36,59.1,38,30,55.9,16,21,43.2,52.0,114.3
10,2023-11-02,Away,Ottawa Senators,3,2,W,,38,6,1,4,0,60,35,63.2,43,26,62.3,21,22,48.8,51.7,101.4
11,2023-11-04,Away,Philadelphia Flyers,5,0,W,,30,8,1,5,0,44,39,53.0,36,27,57.1,24,15,61.5,50.0,115.4
12,2023-11-08,Away,Vegas Golden Knights,4,1,W,,33,4,2,4,0,59,59,50.0,37,44,45.7,24,28,46.2,47.0,105.0
13,2023-11-09,Home,Pittsburgh Penguins,3,4,L,OT,36,6,0,3,1,57,38,60.0,43,29,59.7,24,23,51.1,37.9,87.7
14,2023-11-11,Home,Philadelphia Flyers,2,4,L,,37,8,0,3,0,66,33,66.7,44,26,62.9,26,16,61.9,55.3,87.4
15,2023-11-16,Home,Florida Panthers,2,1,W,,27,12,1,2,0,42,41,50.6,27,25,51.9,23,22,51.1,52.9,99.8
16,2023-11-18,Home,St. Louis Blues,5,1,W,,31,6,1,2,1,58,52,52.7,42,34,55.3,14,22,38.9,33.3,106.8
17,2023-11-20,Away,Arizona Coyotes,4,1,W,,25,17,0,4,1,37,36,50.7,27,24,52.9,24,19,55.8,46.9,111.0
18,2023-11-24,Away,Anaheim Ducks,5,2,W,,31,17,2,3,0,48,50,49.0,38,39,49.4,24,25,49.0,50.0,107.8
19,2023-11-25,Home,Montreal Canadiens,4,0,W,,30,6,0,2,0,54,32,62.8,37,20,64.9,19,23,45.2,48.0,114.8
20,2023-11-29,Home,Washington Capitals,1,2,L,,39,0,0,3,0,60,33,64.5,47,23,67.1,21,17,55.3,69.2,89.6
21,2023-12-03,Home,Colorado Avalanche,4,1,W,,38,4,0,1,0,69,40,63.3,51,26,66.2,25,22,53.2,51.5,106.2
22,2023-12-05,Away,Columbus Blue Jackets,4,3,W,OT,39,2,0,2,0,69,54,56.1,57,37,60.6,25,25,50.0,52.9,103.4
23,2023-12-07,Away,Montreal Canadiens,4,0,W,,42,13,1,1,0,60,48,55.6,48,30,61.5,21,30,41.2,64.7,107.7
24,2023-12-09,Away,New York Islanders,2,3,L,OT,35,13,1,5,0,52,45,53.6,33,35,48.5,25,21,54.3,54.9,91.3
25,2023-12-10,Away,New York Rangers,1,4,L,,26,26,1,3,0,36,33,52.2,28,24,53.8,12,22,35.3,59.1,86.7
26,2023-12-13,Home,Winnipeg Jets,2,5,L,,34,4,1,4,0,56,48,53.8,36,42,46.2,26,13,66.7,52.4,84.5
27,2023-12-16,Away,Seattle Kraken,3,2,W,SO,38,4,1,4,0,61,39,61.0,46,29,61.3,28,18,60.9,70.7,96.2
28,2023-12-19,Away,San Jose Sharks,4,1,W,,39,6,1,2,1,66,31,68.0,51,19,72.9,24,20,54.5,64.3,105.7
29,2023-12-20,Home,Seattle Kraken,1,2,L,,43,6,0,4,1,64,51,55.7,55,33,62.5,31,20,60.8,57.0,92.6
30,2023-12-23,Home,Calgary Flames,5,3,W,,34,12,0,4,0,60,36,62.5,37,21,63.8,22,19,53.7,40.9,112.9
31,2023-12-27,Home,San Jose Sharks,5,1,W,,43,11,0,3,0,64,53,54.7,50,34,59.5,26,19,57.8,56.0,110.4
32,2023-12-28,Away,Vegas Golden Knights,2,3,L,,34,0,0,2,0,87,46,65.4,55,37,59.8,33,23,58.9,52.4,96.5
